Designator,Mid X,Mid Y,Layer,Rotation
C3,25.677,40.968,TOP,90
C4,45.081,35.556,TOP,90
C5,23.853,30.914,TOP,270
C10,45.316,26.85,TOP,180
C12,43.487,44.981,TOP,270
C13,57,58.981,TOP,90
C14,59.667,58.981,TOP,90
C15,56.261,53.975,TOP,90
C16,58.928,53.975,TOP,90
C17,19.685,54.737,TOP,90
C20,25.146,67.945,TOP,0
C21,25.146,59.69,TOP,0
C22,24.765,52.578,TOP,180
C23,24.638,44.323,TOP,180
R3,49.456,71.397,TOP,270
R7,22.172,30.584,TOP,90
R8,20.775,30.584,TOP,90
R9,19.251,30.584,TOP,90
R10,17.63,30.592,TOP,90
R11,18.036,41.328,TOP,270
R12,19.566,41.349,TOP,270
R13,21.232,41.349,TOP,270
R14,22.756,41.296,TOP,270
R37,54.413,51.666,TOP,90
C2,108.405,76.398,TOP,270
C1,123.675,56.822,TOP,270
R19,64.399,25.83,TOP,270
R20,64.412,23.02,TOP,270
R21,64.92,28.522,TOP,270
R22,45.9,59.205,TOP,0
R23,48.551,59.201,TOP,0
R24,43.192,59.201,TOP,0
R28,48.567,43.457,TOP,90
R29,55.857,49.075,TOP,180
R30,53.698,44.887,TOP,0
R31,50.396,47.805,TOP,270
C9,45.316,27.866,TOP,180
C11,44.376,44.981,TOP,270
C18,28.067,56.769,TOP,90
C19,19.812,57.277,TOP,90
C6,24.534,40.968,TOP,90
C7,44.065,35.556,TOP,90
C8,24.742,30.914,TOP,270
R1,103.028,25.893,TOP,270
R2,92.614,25.766,TOP,270
R4,103.028,22.972,TOP,90
R5,92.614,22.845,TOP,90
R6,81.557,23.823,TOP,270
R15,27.125,41.109,TOP,90
R16,28.395,41.125,TOP,90
R17,30.808,41.125,TOP,90
R18,32.12,41.125,TOP,90
R26,61.415,56.797,TOP,270
R32,30.914,30.63,TOP,270
R33,29.644,30.63,TOP,270
R34,27.358,30.63,TOP,270
R35,26.088,30.63,TOP,270
R36,60.452,51.943,TOP,270
R25,36.121,31.646,TOP,180
R27,59.87,66.913,TOP,0
U9,24.892,48.438,TOP,270
U10,24.907,63.805,TOP,90
Q3,51.285,43.36,TOP,0
Q4,53.19,47.805,TOP,0
A0,66.901,22.166,TOP,180
A1,66.83,24.966,TOP,180
A2,66.906,27.785,TOP,180
B0,48.491,61.623,TOP,90
B1,45.824,61.648,TOP,90
B2,43.284,61.648,TOP,90
U11,24.003,56.007,TOP,180
IC1,52.088,31.951,TOP,0
IC2,40.206,52.174,TOP,90
AUDIO,24.996,84.141,TOP,270
U2,124.976,27.465,TOP,180
U1,20.881,36.091,TOP,270
U3,29.6,36.108,TOP,90
U4,38.993,36.064,TOP,270
U7,57.658,51.816,TOP,0
U8,58.42,56.642,TOP,0
U5,65.79,46.262,TOP,0
U6,65.636,35.486,TOP,0
PWR,121.643,79.809,TOP,180
FILL_VALVE,93.549,27.974,TOP,0
VALVE1,82.5,28.101,TOP,0
VALVE2,71.578,28.101,TOP,0
VALVE3,93.549,41.309,TOP,0
VALVE4,82.5,41.436,TOP,0
VALVE5,71.578,41.436,TOP,0
VALVE6,93.549,54.39,TOP,0
VALVE7,82.5,54.39,TOP,0
VALVE8,71.578,54.39,TOP,0
PUMP,129.487,79.987,TOP,0
CLOCK_IN,61.191,75.11,TOP,180
LICK_IN,39.347,75.11,TOP,180
LICK_OUT,82.4,75.11,TOP,180
POWER,92.941,87.937,TOP,270
MOD1,95.324,9.248,TOP,0
MOD2,74.673,9.298,TOP,0
MOD3,54.049,9.248,TOP,0
MOD4,33.883,9.321,TOP,0
MOD5,13.52,9.278,TOP,0
MOD6,8.181,29.36,TOP,270
MOD7,8.181,49.934,TOP,270
MOD8,8.181,70,TOP,270
JP3,65.301,57.752,TOP,90
JP1,139.677,65.839,TOP,90
JP2,126.977,65.839,TOP,90
FILL_BTN,72.494,25.739,TOP,0
FLUSH,94.646,25.699,TOP,0
REV,83.978,25.839,TOP,0
RPI_CONN,109.955,57.823,BOT,270
